mmsi,timestamp,lat,lon,ship_type,ship_name
# Tanker 1: Enters Houston, stays, then leaves (should be counted)
367000001,2025-09-25T10:00:00,29.4,-95.0,80,CRUDE_CARRIER_A
367000001,2025-09-26T12:00:00,29.6,-95.1,80,CRUDE_CARRIER_A
367000001,2025-09-28T14:00:00,29.7,-95.05,80,CRUDE_CARRIER_A
367000001,2025-10-01T16:00:00,29.6,-95.1,80,CRUDE_CARRIER_A
367000001,2025-10-03T18:00:00,29.4,-94.7,80,CRUDE_CARRIER_A

# Tanker 2: Briefly enters Corpus Christi (should be counted)
367000002,2025-09-29T08:00:00,27.7,-97.3,81,OIL_TANKER_B
367000002,2025-09-29T12:00:00,27.5,-97.1,81,OIL_TANKER_B

# Cargo Ship 3: Sails near Houston but not inside (should be filtered out by ship type)
367000003,2025-09-27T11:00:00,29.4,-94.75,70,CARGO_SHIP_C

# Tanker 4: Stays far out at sea (should be filtered out by location)
367000004,2025-09-30T09:00:00,25.0,-92.0,82,PRODUCT_TANKER_D

# Tanker 5: Enters Beaumont last week, and again this week (should be arrival in both weeks)
367000005,2025-09-24T06:00:00,29.8,-94.0,80,CRUDE_CARRIER_E
367000005,2025-10-02T07:00:00,29.9,-93.9,80,CRUDE_CARRIER_E

# Tanker 6: Stays within Delaware Bay for the whole period
367000006,2025-09-20T01:00:00,39.0,-75.2,84,CHEMICAL_TANKER_F
367000006,2025-10-04T02:00:00,39.1,-75.3,84,CHEMICAL_TANKER_F
